#TYPE Selected.System.Collections.DictionaryEntry
"Iteration","Response_Time"
"0","542.6"
"1","240.6"
"2","159.1"
"3","149.6"
"4","157.7"
"5","145.7"
"6","147.7"
"7","156.6"
"8","145"
"9","149.3"
"10","162.6"
"11","145.2"
"12","144.3"
"13","158.6"
"14","144.7"
"15","174.2"
"16","160.4"
"17","142.4"
"18","166.3"
"19","177.3"
"20","148.8"
"21","145.2"
"22","199.2"
"23","168.2"
"24","156.5"
"25","156.7"
"26","171.7"
"27","150.6"
"28","162"
"29","148.4"
"30","145"
"31","167.4"
"32","167.7"
"33","153.8"
"34","165"
"35","147.3"
"36","145"
"37","151.2"
"38","174.6"
"39","153.5"
"40","184.7"
"41","168.8"
"42","152.6"
"43","151.2"
"44","153.4"
"45","165.8"
"46","192.7"
"47","147.9"
"48","183.4"
"49","161.4"
"50","158.3"
"51","174.6"
"52","164.1"
"53","170.9"
"54","152.5"
"55","178.3"
"56","151.8"
"57","167.4"
"58","174.4"
"59","150.1"
"60","150.1"
"61","176.9"
"62","161.7"
"63","146.4"
"64","157.7"
"65","153.5"
"66","151"
"67","150.1"
"68","149.7"
"69","149.6"
"70","156"
"71","144"
"72","152.3"
"73","158"
"74","146.5"
"75","153.6"
"76","162.3"
"77","158"
"78","172.1"
"79","160.9"
"80","151.8"
"81","174.1"
"82","161.3"
"83","154.8"
"84","195"
"85","167"
"86","150.9"
"87","148.4"
"88","169.5"
"89","153"
"90","151.1"
"91","159.5"
"92","150.8"
"93","169.7"
"94","160.7"
"95","146.2"
"96","150.8"
"97","156.8"
"98","147.6"
"99","200.5"
"100","229.2"
"101","167.8"
"102","148.6"
"103","160.8"
"104","150.4"
"105","146.3"
"106","163.2"
"107","148.4"
"108","166.8"
"109","155.3"
"110","151"
"111","169"
"112","186.9"
"113","216"
"114","314.9"
"115","1030.5"
"116","181.8"
"117","356"
"118","197.1"
"119","174"
"120","179.3"
"121","175.1"
"122","180.6"
"123","180.4"
"124","188.4"
"125","165.6"
"126","219.2"
"127","177.9"
"128","173.5"
"129","256.1"
"130","189.8"
"131","160.4"
"132","266"
"133","164"
"134","159.3"
"135","202"
"136","160.2"
"137","191.2"
"138","181.2"
"139","171.7"
"140","187.5"
"141","196"
"142","249.6"
"143","224.2"
"144","250.8"
"145","240.2"
"146","353.5"
"147","308.8"
"148","369.5"
"149","205.4"
"150","164.9"
"151","222.6"
"152","169.8"
"153","187.1"
"154","216.9"
"155","206.2"
"156","173.2"
"157","210.6"
"158","182"
"159","165.9"
"160","164.2"
"161","172"
"162","171.8"
"163","158.4"
"164","149"
"165","153.9"
"166","238.4"
"167","161"
"168","188.5"
"169","153.3"
"170","147.1"
"171","148.3"
"172","166.4"
"173","148.3"
"174","155.1"
"175","183.4"
"176","155.7"
"177","154"
"178","163.5"
"179","151.1"
"180","173.5"
"181","151.2"
"182","149.5"
"183","159.5"
"184","161.6"
"185","161.3"
"186","152"
"187","180.7"
"188","214.5"
"189","185.7"
"190","175.7"
"191","152"
"192","161.7"
"193","163.9"
"194","156.4"
"195","153.6"
"196","162"
"197","178.2"
"198","151.1"
"199","164.6"
"200","151.5"
"201","154.4"
"202","168.8"
"203","162.5"
"204","149.3"
"205","163.7"
"206","151"
"207","157.7"
"208","157.1"
"209","160.4"
"210","162.6"
"211","175.9"
"212","151.2"
"213","145.9"
"214","160.5"
"215","157.7"
"216","165"
"217","172"
"218","216"
"219","158.2"
"220","180.7"
"221","160"
"222","156.7"
"223","159.9"
"224","167"
"225","155.2"
"226","162.4"
"227","171"
"228","146.7"
"229","152.4"
"230","166.6"
"231","164.7"
"232","163.3"
"233","153.7"
"234","151.6"
"235","158.7"
"236","251.9"
"237","166.8"
"238","163.2"
"239","334.6"
"240","167.5"
"241","179.5"
"242","170.5"
"243","168.6"
"244","157"
"245","166.1"
"246","163.2"
"247","164.2"
"248","147.4"
"249","156.7"
"250","154.3"
"251","143.9"
"252","143.2"
"253","154.5"
"254","154.3"
"255","158"
"256","158.8"
"257","143.3"
"258","143.6"
"259","159.7"
"260","149.9"
"261","150.5"
"262","158.9"
"263","152.6"
"264","155.3"
"265","157.7"
"266","145.4"
"267","151.4"
"268","155.5"
"269","155.9"
"270","159.3"
"271","164.1"
"272","161.4"
"273","146.1"
"274","161.4"
"275","154.3"
"276","151.1"
"277","157.9"
"278","143.6"
"279","214.9"
"280","159.7"
"281","146.9"
"282","158.8"
"283","150.5"
"284","145.8"
"285","148.3"
"286","152.6"
"287","152.5"
"288","162.8"
"289","175.6"
"290","146.9"
"291","149"
"292","171.8"
"293","148.3"
"294","217.6"
"295","145.1"
"296","158"
"297","164.3"
"298","151.5"
"299","174.7"
"300","147.7"
"301","145.7"
"302","173.3"
"303","150.1"
"304","163.5"
"305","162.8"
"306","148.8"
"307","147.1"
"308","148.7"
"309","152.9"
"310","187.5"
"311","155.4"
"312","142.4"
"313","150.9"
"314","149.7"
"315","145.5"
"316","148.4"
"317","185.4"
"318","163.9"
"319","174.2"
"320","187.1"
"321","146.4"
"322","160.9"
"323","149"
"324","162.5"
"325","154.2"
"326","159.4"
"327","155"
"328","143.5"
"329","148.9"
"330","174.7"
"331","153"
"332","152.9"
"333","156.6"
"334","173"
"335","148.8"
"336","152.9"
"337","147.3"
"338","178.1"
"339","155.3"
"340","144.8"
"341","174.9"
"342","154.4"
"343","143.6"
"344","153.3"
"345","158.1"
"346","146.6"
"347","144.9"
"348","157.6"
"349","145.3"
"350","147.3"
"351","270.6"
"352","169.1"
"353","153.8"
"354","149.2"
"355","154.7"
"356","153.7"
"357","147.9"
"358","165.2"
"359","147.8"
"360","182.4"
"361","165.4"
"362","143.6"
"363","154.1"
"364","153.8"
"365","190.4"
"366","149.7"
"367","167.6"
"368","142.9"
"369","153.8"
"370","153"
"371","166.3"
"372","172"
"373","157.6"
"374","170.4"
"375","160.8"
"376","151.8"
"377","143.1"
"378","145.3"
"379","151"
"380","156"
"381","146.3"
"382","149.3"
"383","158.7"
"384","144.3"
"385","177.5"
"386","156.5"
"387","143.4"
"388","152.5"
"389","157.6"
"390","145.4"
"391","147.3"
"392","150.6"
"393","152.1"
"394","144.8"
"395","161.2"
"396","145.8"
"397","187"
"398","152.9"
"399","176.4"
"400","145.4"
"401","157.7"
"402","177.2"
"403","151.2"
"404","170.8"
"405","142.7"
"406","143.7"
"407","156.6"
"408","154.9"
"409","149.9"
"410","156"
"411","171.6"
"412","144.8"
"413","154.1"
"414","163.1"
"415","147.9"
"416","153.7"
"417","155.2"
"418","151.9"
"419","159.8"
"420","158.9"
"421","146.9"
"422","145.6"
"423","157.4"
"424","154.8"
"425","158.6"
"426","174.9"
